id,Ãû×Ö,Ä£ÐÍid,Í·ÏñID,¹¥»÷ÀàÐÍ,µÈ¼¶,ÉúÃüÖµ,ÒÆ¶¯ËÙ¶È,¹¥»÷·¶Î§,Îï¹¥,·¨¹¥,ÎïÀí·ÀÓù,·¨Êõ·ÀÓù,ÃüÖÐ,¶ãÉÁ,±©»÷,¿¹±©,¼¼ÄÜ1,¼¼ÄÜ1µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ1µÄÊ©·¨Ê±¼ä,¼¼ÄÜ2,¼¼ÄÜ2µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ2µÄÊ©·¨Ê±¼ä,¼¼ÄÜ3,¼¼ÄÜ3µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ3µÄÊ©·¨Ê±¼ä,¼¼ÄÜ4,¼¼ÄÜ4µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ4µÄÊ©·¨Ê±¼ä,É¾³ý
2153,ÑªÖ®Ëþ,346,253,0,33,330,22050,,408,408,281,266,298,183,,,0,10000,1500,,,,,,,,,,É¾³ý
2154,À×Çò,1514,319,0,1,18,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2155,À×³Ø,1503,335,0,47,4597,35550,,786,786,585,555,462,279,,,873113,10000,1500,,,,,,,,,,É¾³ý
2156,±¸ÓÃÉúÎï7,1514,319,0,1,18,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2157,±¸ÓÃÉúÎï8,1514,319,0,1,18,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2158,±¸ÓÃÉúÎï9,1514,319,0,1,18,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2159,±¸ÓÃÉúÎï10,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2160,±¸ÓÃÉúÎï11,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2161,±¸ÓÃÉúÎï12,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2162,±¸ÓÃÉúÎï13,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2163,±¸ÓÃÉúÎï14,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2164,±¸ÓÃÉúÎï15,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2165,±¸ÓÃÉúÎï16,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2166,ÁõçùbossÎ´ÃüÃû,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2167,¿ó²úÉÌÈË,2576,780,1,20,1024,11875,,274,274,183,173,182,114,,,0,10000,1500,,,,,,,,,,É¾³ý
2168,¿ó²úÉÌÈË,2576,780,1,20,1024,11875,,274,274,183,173,182,114,,,0,10000,1500,,,,,,,,,,É¾³ý
2169,¿ó²úÉÌÈË,2576,780,1,20,1024,11875,,274,274,183,173,182,114,,,0,10000,1500,,,,,,,,,,É¾³ý
2170,¿ó²úÉÌÈË,2576,780,1,20,1024,11875,,274,274,183,173,182,114,,,0,10000,1500,,,,,,,,,,É¾³ý
2171,¹¦Ñ«¶Ò»»ÉÌÈË,2576,780,1,20,1024,11875,,274,274,183,173,182,114,,,0,10000,1500,,,,,,,,,,É¾³ý
2201,É³Ä®»Äºü,188,3,0,61,2528,21500,,955,955,742,704,761,444,,,701002,10000,1500,,,,,,,,,,É¾³ý
2202,»ÄÄ®ÍºðÕ,42,64,0,63,2694,21500,,1002,1002,779,740,925,544,,,701002,10000,1500,,,,,,,,,,É¾³ý
2203,ÑÒÊ¯Ä§¹Ö,341,24,0,65,2876,21500,,1049,1049,817,776,1090,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
2204,ÑÒÊ¯¾Þ¹Ö,460,69,0,60,7790,21500,,1072,1072,760,722,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
2205,É³Ä®Ò°ÈË,569,384,0,70,3940,21500,,1299,1299,1054,1001,1505,896,,,701002,10000,1500,,,,,,,,,,É¾³ý
2206,É³Ä®ÖäÊ¦,571,383,0,80,30654,21500,,3151,3466,2280,2787,2365,1418,,,710002,10000,1500,,,,,,,,,,É¾³ý
2207,»ðÑæ÷¼÷Ã,598,30,0,80,10248,21500,,2740,2740,2414,2293,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
2208,»ÄÄ®¹Â»ê,594,393,0,76,7616,21500,,2158,2158,1870,1776,2021,1207,,,701002,10000,1500,,,,,,,,,,É¾³ý
2209,É³Ä®¾ÞÀÇ,541,48,0,62,2610,21500,,978,978,760,722,844,495,,,701002,10000,1500,,,,,,,,,,É¾³ý
2210,¾ÞÀÇÕ½½«,542,47,0,70,3940,21500,,1299,1299,1054,1001,1505,896,,,701002,10000,1500,,,,,,,,,,É¾³ý
2211,»ÄÔ­¶ö¹í,1759,376,0,65,2876,21500,,1049,1049,817,776,1090,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
2212,¶ö¹íÍ·Áì,1760,376,0,65,9244,21500,,1206,1206,857,814,1090,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
2213,Ç§Äê¹Â»ê,932,394,0,78,8914,21500,,2448,2448,2141,2033,2192,1312,,,701002,10000,1500,,,,,,,,,,É¾³ý
2214,ÉñÒíÓ¥Íõ,931,63,0,66,2986,21500,,1076,1076,841,798,1172,694,,,701002,10000,1500,,,,,,,,,,É¾³ý
2215,Òµ»ðÑÒ¾«,930,408,0,68,3226,21500,,1130,1130,892,847,1337,794,,,701002,10000,1500,,,,,,,,,,É¾³ý
2216,»ðÑæÑÒ¹Ö,929,409,0,74,6352,21500,,1870,1870,1598,1518,1848,1104,,,701002,10000,1500,,,,,,,,,,É¾³ý
2217,Ê¬Ìå,1567,464,1,90,10260,21500,,4192,4192,3725,3538,3214,1954,,,0,10000,1500,,,,,,,,,,É¾³ý
2218,¡¶µ¤¾­ÄÚ·üÁò»Æ·¨¡·,98,261,1,90,10260,21500,,4192,4192,3725,3538,3214,1954,,,0,10000,1500,,,,,,,,,,É¾³ý
2219,¸¯ÀÃµÄÊ¬Ìå,1498,502,1,90,10260,21500,,4192,4192,3725,3538,3214,1954,,,701002,10000,1500,,,,,,,,,,É¾³ý
2220,ÌÌÉËµÄÊ¿±ø,1498,502,1,90,10260,21500,,4192,4192,3725,3538,3214,1954,,,701002,10000,1500,,,,,,,,,,É¾³ý
2221,¹ÈóÏ,1098,345,2,90,503595,21500,,6,6,4470,4246,4821,1954,,,701042,10000,1500,,,,,,,,,,É¾³ý
2222,±Ë°¶,1535,330,2,90,503595,21500,,6,6,4470,4246,4821,1954,,,701043,10000,1500,,,,,,,,,,É¾³ý
2223,ÊØ»¤ÊÞÇîÆæ,1514,319,0,67,2812,21500,,1,1,909,863,1253,744,,,701043,10000,1500,,,,,,,,,,É¾³ý
2224,±Ë°¶,1535,330,0,67,5515,21500,,1323,1323,1039,987,1253,744,,,701043,10000,1500,,,,,,,,,,É¾³ý
2225,Ëá¹ûÊ÷,1510,126,1,97,12821,21500,,5032,5032,4454,4231,3662,2246,,,0,10000,1500,,,,,,,,,,É¾³ý
2226,»ÆÍÁÊ¯,1512,248,1,97,12821,21500,,5032,5032,4454,4231,3662,2246,,,0,10000,1500,,,,,,,,,,É¾³ý
2227,Æß²Êòþ,1513,313,0,66,1792,21500,,1076,1076,841,798,1172,694,,,701002,10000,1500,,,,,,,,,,É¾³ý
2228,Ëá¹û¾«,1520,455,0,66,1792,21500,,1076,1076,841,798,1172,694,,,701002,10000,1500,,,,,,,,,,É¾³ý
2229,Æß²Êòþ,1352,313,0,75,4188,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2230,±Ë°¶,1535,330,0,1,19,21500,,25,27,19,24,62,40,,,701002,10000,1500,,,,,,,,,,É¾³ý
2231,ÇîÆæ,1514,319,0,1,22,21500,,25,25,22,20,62,40,,,710002,10000,1500,,,,,,,,,,É¾³ý
2232,É³Ä®»Äºü,188,3,0,65,1726,21500,,1049,1049,817,776,1090,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
2233,É³Ä®¾ÞÀÇ,541,48,0,66,1792,21500,,1076,1076,841,798,1172,694,,,701002,10000,1500,,,,,,,,,,É¾³ý
2234,É³Ä®²ÔÓ¥,42,60,0,68,1936,21500,,1130,1130,892,847,1337,794,,,701002,10000,1500,,,,,,,,,,É¾³ý
2235,¾ÞÀÇÕ½½«,542,47,0,68,6260,21500,,1299,1299,936,889,1337,794,,,701002,10000,1500,,,,,,,,,,É¾³ý
2236,»ÄÔ­¶ñ¹í,503,376,0,70,2364,21500,,1299,1299,1054,1001,1505,896,,,701002,10000,1500,,,,,,,,,,É¾³ý
2237,ÉñÒíÓ¥Íõ,931,63,0,70,7679,21500,,1493,1493,1106,1050,1505,896,,,701002,10000,1500,,,,,,,,,,É¾³ý
2238,É³Ä®Ò°ÈË,569,384,0,72,3080,21500,,1584,1584,1325,1258,1676,999,,,701002,10000,1500,,,,,,,,,,É¾³ý
2239,ÑÒÊ¯Ä§¹Ö,341,24,0,73,3439,21500,,1726,1726,1462,1388,1762,1051,,,701002,10000,1500,,,,,,,,,,É¾³ý
2240,»ÄÄ®¹Â»ê,594,393,0,75,4188,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2241,»ðÑæÑÒ¹Ö,929,409,0,76,4570,21500,,2158,2158,1870,1776,2021,1207,,,701002,10000,1500,,,,,,,,,,É¾³ý
2242,Òµ»ðÑÒ¾«,930,408,0,78,5348,21500,,2448,2448,2141,2033,2192,1312,,,701002,10000,1500,,,,,,,,,,É¾³ý
2243,ÑÒÊ¯¾Þ¹Ö,460,69,0,78,17692,21500,,2815,2815,2248,2135,2192,1312,,,701002,10000,1500,,,,,,,,,,É¾³ý
2244,Ç§Äê¹Â»ê,932,394,0,79,5747,21500,,2594,2594,2278,2164,2278,1364,,,701002,10000,1500,,,,,,,,,,É¾³ý
2245,»ðÑæ÷¼÷Ã,598,30,0,80,6149,21500,,2740,2740,2414,2293,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
2246,¸¯ÀÃµÄÊ¬Ìå,1498,502,1,72,3080,21500,,1584,1584,1325,1258,1676,999,,,0,10000,1500,,,,,,,,,,É¾³ý
2247,¡¶ÉñÅ©±¾²Ý¾­¡·,98,261,1,72,3080,21500,,1584,1584,1325,1258,1676,999,,,0,10000,1500,,,,,,,,,,É¾³ý
2248,»ÆÍÁÊ¯,1512,248,1,72,3080,21500,,1584,1584,1325,1258,1676,999,,,0,10000,1500,,,,,,,,,,É¾³ý
2249,Ëá¹ûÊ÷,1510,126,1,72,3080,21500,,1584,1584,1325,1258,1676,999,,,0,10000,1500,,,,,,,,,,É¾³ý
2250,ÌìµÆ,680,126,1,72,3080,21500,,1584,1584,1325,1258,1676,999,,,0,10000,1500,,,,,,,,,,É¾³ý
2251,Ê¥²Ø·¨Ê¦,2500,770,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2252,ÂåÉ£,2528,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2253,¸ñÉ£,2526,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2254,Ì°²ÆÉ®,2508,752,0,40,1530,21500,,524,524,376,357,371,3,,,701002,10000,1500,,,,,,,,,,É¾³ý
2255,ÃÔÉ«É®,2509,752,0,40,1530,21500,,524,524,376,357,371,3,,,701002,10000,1500,,,,,,,,,,É¾³ý
2256,°×ÑòÍÕ,233,200,1,50,853,21500,,715,715,541,513,508,303,,,0,10000,1500,,,,,,,,,,É¾³ý
2257,×ØÑòÍÕ,2197,201,1,50,853,21500,,715,715,541,513,508,303,,,0,10000,1500,,,,,,,,,,É¾³ý
2258,½ðÑòÍÕ,2198,202,1,50,853,21500,,715,715,541,513,508,303,,,0,10000,1500,,,,,,,,,,É¾³ý
2259,ÖéÄ·,2507,751,0,50,47934,21500,,858,858,649,616,508,4,,,701002,10000,1500,,,,,,,,,,É¾³ý
2260,Ä©ÈÕ·¨Íõ,2530,765,0,45,27377,21500,,739,739,546,518,436,4,,,701002,10000,1500,,,,,,,,,,É¾³ý
2261,×ÏÉºº÷,2159,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2262,ÂåÉ£,2528,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2263,¸ñÉ£,2526,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2264,ÃûÀûÉ®,2501,756,0,60,2448,21500,,933,933,724,687,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
2265,È¨ÓûÉ®,2502,757,0,60,2448,21500,,933,933,724,687,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
2266,Ä©ÈÕ·¨Íõ,2530,765,0,65,68160,21500,,1258,1258,980,931,1090,7,,,701002,10000,1500,,,,,,,,,,É¾³ý
2267,ÖéÄ·,2507,751,0,65,68160,21500,,1258,1258,980,931,1090,7,,,701002,10000,1500,,,,,,,,,,É¾³ý
2268,×ÏÉºº÷,2159,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2269,ÒøÉºº÷,2155,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2270,´«ËÍÊ¦,2298,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2271,´«ËÍÊ¦,2298,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2272,ê»ÌìËþ,414,254,0,69,27175,21500,,1331,1331,962,913,1418,9,,,0,10000,1500,,,,,,,,,,É¾³ý
2273,åÈÂ¥ÂÞ,2489,737,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2274,½ôÄÇÂÞ,2487,749,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2275,ÂåÉ£,2528,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2276,¸ñÉ£,2526,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2277,Ãð·¨É®,2524,763,0,75,6980,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2278,Ð°Ã÷É®,2525,764,0,75,6980,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2279,Ä©ÈÕ·¨Íõ,2530,765,0,79,229508,21500,,3112,3112,2733,2596,2278,15,,,701002,10000,1500,,,,,,,,,,É¾³ý
2280,ÖéÄ·,2507,751,0,79,229508,21500,,3112,3112,2733,2596,2278,15,,,701002,10000,1500,,,,,,,,,,É¾³ý
2281,×ÏÉºº÷,2159,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2282,ÒøÉºº÷,2155,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2283,´«ËÍÊ¦,2298,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2284,´«ËÍÊ¦,2298,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2285,ê»ÌìËþ,414,254,0,79,79395,21500,,2983,2983,2391,2271,2278,15,,,0,10000,1500,,,,,,,,,,É¾³ý
2286,°¢ÐÞÂÞ,2463,747,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2287,Ä¦ºôÂÞåÈ,2485,748,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2288,Ãð·¨É®,2524,763,0,75,6980,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2289,Ð°Ã÷É®,2525,764,0,75,6980,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2290,Ä©ÈÕ·¨Íõ,2530,765,0,79,229508,21500,,3112,3112,2733,2596,2278,15,,,701002,10000,1500,,,,,,,,,,É¾³ý
2291,ÖéÄ·,2507,751,0,79,229508,21500,,3112,3112,2733,2596,2278,15,,,701002,10000,1500,,,,,,,,,,É¾³ý
2292,×ÏÉºº÷,2159,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2293,ÒøÉºº÷,2155,655,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2294,ÕóÓªÊØÎÀ,522,360,3,100,7549700,7000,,647800,647800,5715,5429,3860,2375,,,873041,10000,1500,,,,,,,,,,É¾³ý
2295,ÕóÓªÊØÎÀ,522,360,3,100,7549700,7000,,647800,647800,5715,5429,3860,2375,,,873041,10000,1500,,,,,,,,,,É¾³ý
2296,»¢Íõ,2073,637,0,50,234145,21500,,1072,1072,649,616,762,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
2297,»¢Íõ,2073,637,0,65,405515,21500,,1573,1573,980,931,1635,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
2298,»¢Íõ,2073,637,0,75,1001630,21500,,3019,3019,2079,1975,2900,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2301,Ë®¾«Áé,1425,61,0,15,101,21500,,171,171,116,110,148,93,,,701002,10000,1500,,,,,,,,,,É¾³ý
2302,ÂÌÃ«¹ê,1775,592,0,16,110,21500,,183,183,124,117,155,97,,,701002,10000,1500,,,,,,,,,,É¾³ý
2303,ºìÝàÏÉ×Ó,1778,531,0,18,125,21500,,206,206,139,132,168,106,,,701002,10000,1500,,,,,,,,,,É¾³ý
2304,öÞÓãÂùÁ¦,1994,52,0,45,800,21500,,616,616,501,475,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
2305,Éîº£ºÚöè,1993,539,0,28,246,21500,,336,336,231,219,250,155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2306,Ëå¾ü»úÐµ±ø,983,480,0,27,235,21500,,322,322,221,209,241,151,,,701002,10000,1500,,,,,,,,,,É¾³ý
2307,Ë®òáÎÀ±ø,1995,538,0,29,263,21500,,350,350,241,228,258,161,,,701002,10000,1500,,,,,,,,,,É¾³ý
2308,Ë®òáÊÌÎÀ,1996,537,0,55,1235,21500,,819,819,689,653,593,349,,,701002,10000,1500,,,,,,,,,,É¾³ý
2309,Ð¡ÁúÅ®,1992,532,0,55,1235,21500,,819,819,689,653,593,349,,,701002,10000,1500,,,,,,,,,,É¾³ý
2310,¿ØöèÍÜÈË,1909,598,0,30,279,21500,,364,364,251,238,266,166,,,701002,10000,1500,,,,,,,,,,É¾³ý
2311,öÞöèÆíµ»Õß,1997,54,0,45,800,21500,,616,616,501,475,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
2312,öÞöè»¤Ì³Õß,1998,55,0,45,800,21500,,616,616,501,475,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
2313,ÂÌÂÜÏÉ×Ó,1776,616,0,20,140,21500,,229,229,153,145,182,114,,,701002,10000,1500,,,,,,,,,,É¾³ý
2314,ÕðÌìåó,1720,528,0,28,224,21500,,386,386,242,229,250,155,,,701002,10000,1500,,,,,,,,,,É¾³ý
2315,±´À­,1923,615,0,30,1714,21500,,436,436,301,285,266,166,,,706015,10000,1500,,,,,,,,,,É¾³ý
2316,¹êºÐ,1583,144,1,30,279,21500,,364,364,251,238,266,166,,,0,10000,1500,,,,,,,,,,É¾³ý
2317,ÑªÉºº÷,1824,594,1,30,279,21500,,364,364,251,238,266,166,,,0,10000,1500,,,,,,,,,,É¾³ý
2318,¶«º£ÕäÖé,1922,535,1,25,204,21500,,295,295,202,191,224,141,,,0,10000,1500,,,,,,,,,,É¾³ý
2319,öè»¤ÎÀ,1765,595,0,35,2258,20000,,525,525,363,344,318,196,,,706015,10000,1500,,,,,,,,,,É¾³ý
2320,ÓñºüÏÉ×Ó,1978,617,0,21,641,21500,,290,290,195,185,191,120,,,701002,10000,1500,,,,,,,,,,É¾³ý
2321,öÞÓãÏÈ·æ,333,57,0,80,6149,21500,,2740,2740,2655,2522,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
2322,Ë®ÁúÅ®ÆÍ,1999,540,0,80,6149,21500,,2740,2740,2655,2522,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
2323,ÁéÂ¹ÉÏÏÉ,596,412,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2324,±ÌÔÂÉÏÏÉ,1155,495,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2325,ÌÒÌÒÉÏÏÉ,309,1,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2326,ÒøÐÇÉÏÏÉ,1145,96,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2327,³àÔÃÉÏÏÉ,3026,95,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2328,ÁúÑÒÂ¹,1328,560,0,46,12725,21500,,686,686,566,537,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
2329,¾Å»¨·ï,697,238,0,46,12725,21500,,724,724,566,537,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
2330,½ðÁéÊó,1207,542,0,46,12725,21500,,762,762,566,537,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
2331,×ÏÇçÑò,1330,562,0,46,12725,21500,,800,800,566,537,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
2332,±ÌÏÉºü,225,198,0,46,12725,21500,,838,838,566,537,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
2351,×Ï½ðÄ§Ïä,2737,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2352,°µ½ðÄ§Ïä,2721,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2353,×Ï½ðÄ§Ïä,2737,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2354,°µ½ðÄ§Ïä,2721,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2355,×Ï½ðÄ§Ïä,2737,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2356,°µ½ðÄ§Ïä,2721,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2357,×Ï½ðÄ§Ïä,2737,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2358,°µ½ðÄ§Ïä,2721,105,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
2359,É·ÆøÉ®,2739,764,0,85,6822,21500,,3476,3476,3084,2929,2802,1689,,,701002,10000,1500,,,,,,,,,,É¾³ý
2360,Ä§Ð°É®,2738,759,0,85,6822,21500,,3476,3476,3084,2929,2802,1689,,,701002,10000,1500,,,,,,,,,,É¾³ý
2361,»¢Íõ,2073,637,0,85,1992020,21500,,5214,5214,3700,3515,4203,1689,,,701002,10000,1500,,,,,,,,,,É¾³ý
2362,ÒøÊ¯¿ó³µÊØÎÀ,715,357,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2363,¸ñÉ£,2526,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2364,ÂåÉ£,2528,768,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2365,´«ËÍÊ¦,2298,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2366,´«ËÍÊ¦,2298,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2367,Ìì,2726,722,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2368,Áú,1764,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2369,¿ó³µÆðµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2370,¿ó³µÖÕµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2371,ÒøÊ¯¿ó³µÊØÎÀ,715,357,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2372,¿ó³µÆðµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2373,¿ó³µÖÕµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2374,ÒøÊ¯¿ó³µÊØÎÀ,715,357,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2375,¿ó³µÆðµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2376,¿ó³µÖÕµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2377,ÒøÊ¯¿ó³µÊØÎÀ,715,357,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2378,¿ó³µÆðµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2379,¿ó³µÖÕµã,2740,529,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
2401,ÄàÊ¯×ð,1439,466,0,29,1800,22050,,350,350,253,240,258,161,,,701002,10000,1500,,,,,,,,,,É¾³ý
2402,ÄàÊ¯×ð,1439,466,0,29,800,15333,,350,350,241,228,258,161,,,701002,10000,1500,,,,,,,,,,É¾³ý
2403,ÄàÍÞ,1419,465,0,30,700,22050,,350,350,251,238,266,166,,,701002,10000,1500,,,,,,,,,,É¾³ý
2404,±äÒìÄàÍÞ,1576,465,0,30,700,10550,,350,350,251,238,266,166,,,701002,10000,1500,,,,,,,,,,É¾³ý
